Title                                                                                                                                                                         ,Price ,In Stock ,Category
Zotac GeForce RTX 4090 Gaming ZT-D40900M-10S 24GB GDDR6X 384-Bit PCIe 4.0 Desktop Graphics Card - OEM Packaging                                                               ,False ,37499.00 ,Graphics Cards
Zotac GeForce RTX 4080 Trinity Black Edition ZT-D40810P-10P 16GB GDDR6X 256-bit PCIe 4.0 Desktop Graphics Card                                                                ,False ,26399.00 ,Graphics Cards
ASUS GeForce GT 730 GT730-4H-SL-2GD5 2GB GDDR5 64-bit PCI-E 2.0 Desktop Graphics Card                                                                                         ,True  ,2574.00  ,Graphics Cards
Corsair CC-9310001-WW Premium Flat Rubberised 300mm PCIe 4.0 x16 Black GPU Riser Cable                                                                                        ,True  ,1551.00  ,Graphics Cards
ASUS GeForce RTX 4060 DUAL OC Edition DUAL-RTX4060-O8G 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                       ,True  ,8599.00  ,Graphics Cards
[RECERTIFIED] XFX Radeon RX 6950 XT Speedster Merc 319 Black RX-695XATBD9 16GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card                                                   ,False ,12899.00 ,Graphics Cards
Palit GeForce RTX 4070 Ti GamingPro NED407T019K9-1043A 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                                                     ,False ,18499.00 ,Graphics Cards
MSI GeForce RTX 4080 16GB VENTUS 3X OC 16GB GDDR6X 256-Bit PCIe 4.0 Desktop Graphics Card                                                                                     ,True  ,28536.00 ,Graphics Cards
MSI GeForce RTX 4090 SUPRIM LIQUID X 24G 24GB GDDR6X 384-Bit PCIe 4.0 240mm All-In-One Liquid Cooled Desktop Graphics Card                                                    ,True  ,47097.00 ,Graphics Cards
Gigabyte GeForce RTX 4090 AORUS XTREME WATERFORCE 24G 24GB GDDR6X 384-Bit PCIe 4.0 Desktop Graphics Card                                                                      ,True  ,47972.00 ,Graphics Cards
MSI GeForce RTX 4080 16GB SUPRIM X 16GB GDDR6X 256-Bit PCIe 4.0 Desktop Graphics Card                                                                                         ,True  ,29899.00 ,Graphics Cards
Gigabyte GeForce GT 1030 GV-N1030D5-2GL 2GB GDDR5 64-bit PCI-E 2.0 Desktop Graphics Card                                                                                      ,True  ,1924.00  ,Graphics Cards
