Title,Price,In Stock,Category,URL,Image URL
cooler master mobius 120 oc ring blade fan,499,True,Cooler,https://www.evetech.co.za/cooler-master-mobius-120-oc-ring-blade-fan/best-deal/19554.aspx,https://www.evetech.co.za/repository/components/cooler-master-mobius-120-oc-ring-blade-fan-600px-v1300px.png
corsair af120 elite high performance fan   white,519,True,Cooler,https://www.evetech.co.za/corsair-af120-elite-high-performance-fan-white/best-deal/15213.aspx,https://www.evetech.co.za/repository/components/corsair-af120-elite-high-performance-fan-white-600px-v1300px.png
corsair ml120 led elite white premium fan,547,True,Cooler,https://www.evetech.co.za/corsair-ml120-led-elite-white-premium-fan/best-deal/15201.aspx,https://www.evetech.co.za/repository/components/corsair-ml120-led-elite-white-premium-fan-600px-v1300px.png
corsair ml140 led elite red premium fan   white frame,549,True,Cooler,https://www.evetech.co.za/corsair-ml140-led-elite-red-premium-fan-white-frame/best-deal/15202.aspx,https://www.evetech.co.za/repository/components/corsair-ml140-led-elite-red-premium-fan-white-frame-600px-v1300px.png
corsair af120 slim pwm fan white,549,True,Cooler,https://www.evetech.co.za/corsair-af120-slim-pwm-fan-white/best-deal/16372.aspx,https://www.evetech.co.za/repository/components/corsair-af120-slim-pwm-fan-white-600px-v1300px.png
corsair af120 elite high performance fan   black,569,True,Cooler,https://www.evetech.co.za/corsair-af120-elite-high-performance-fan-black/best-deal/15211.aspx,https://www.evetech.co.za/repository/components/corsair-af120-elite-high-performance-fan-black-600px-v1300px.png
corsair af140 elite high performance fan   black,599,True,Cooler,https://www.evetech.co.za/corsair-af140-elite-high-performance-fan-black/best-deal/15212.aspx,https://www.evetech.co.za/repository/components/corsair-af140-elite-high-performance-fan-black-600px-v1300px.png
corsair af120 slim pwm fan black,599,True,Cooler,https://www.evetech.co.za/corsair-af120-slim-pwm-fan-black/best-deal/16373.aspx,https://www.evetech.co.za/repository/components/corsair-af120-slim-pwm-fan-black-600px-v1300px.png
corsair ml140 led elite white premium fan   white frame,599,True,Cooler,https://www.evetech.co.za/corsair-ml140-led-elite-white-premium-fan-white-frame/best-deal/15209.aspx,https://www.evetech.co.za/repository/components/corsair-ml140-led-elite-white-premium-fan-white-frame-600px-v1300px.png
gamdias aeolus m2 1205r rgb case fan,599,True,Cooler,https://www.evetech.co.za/gamdias-aeolus-m2-1205r-rgb-case-fan/best-deal/7519.aspx,https://www.evetech.co.za/repository/components/gamdias-aeolus-m2-1205r-rgb-case-fan-600px-v1300px.png
corsair icue af120 rgb slim fan black,629,True,Cooler,https://www.evetech.co.za/corsair-icue-af120-rgb-slim-fan-black/best-deal/20457.aspx,https://www.evetech.co.za/repository/components/corsair-icue-af120-rgb-slim-fan-black-600px-v1300px.png
