Title,Price,In Stock,Category
Intel Core i5-11400 Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400 Desktop Processor,4407.99,True,CPUs / Processors
Intel Core i5-11400F Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400F Desktop Processor,3724.99,True,CPUs / Processors
Intel Core i5-11500 Rocket Lake 6-Core 2.70GHz LGA1200 65W BX8070811500 Desktop Processor,5587.99,True,CPUs / Processors
Intel Core i5-11600 Rocket Lake 6-Core 2.80GHz LGA1200 65W BX8070811600 Desktop Processor,6084.99,True,CPUs / Processors
Intel Core i5-11600K Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600K Desktop Processor,7512.99,True,CPUs / Processors
Intel Core i5-11600KF Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600KF Desktop Processor,7326.99,True,CPUs / Processors
Intel Core i5-12400 Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400 Desktop Processor,4507.49,True,CPUs / Processors
Intel Core i5-12400F Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400F Desktop Processor,3646.99,True,CPUs / Processors
Intel Core i5-12500 Alder Lake 6-Core 3.00GHz LGA1700 65W BX8071512500 Desktop Processor,5612.99,True,CPUs / Processors
Intel Core i5-12600 Alder Lake 6-Core 3.30GHz LGA1700 65W BX8071512600 Desktop Processor,7016.49,True,CPUs / Processors
Intel Core i5-12600K Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600K Desktop Processor,7736.49,True,CPUs / Processors
Intel Core i5-12600KF Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600KF Desktop Processor,7177.99,True,CPUs / Processors
Intel Core i5-13400 Raptor Lake 10-Core 2.50GHz LGA1700 65W BX8071513400 Desktop Processor,5612.99,True,CPUs / Processors
Intel Core i5-13400F Raptor Lake 10-Core 2.50GHz LGA1700 65W BX8071513400F Desktop Processor,4966.99,True,CPUs / Processors
Intel Core i5-13500 Raptor Lake 14-Core 2.50GHz LGA1700 65W BX8071513500 Desktop Processor,5873.49,True,CPUs / Processors
Intel Core i5-13600 Raptor Lake 14-Core 2.00GHz LGA1700 65W BX8071513600 Desktop Processor,7202.49,False,CPUs / Processors
Intel Core i5-13600K Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071513600K Desktop Processor,7810.99,True,CPUs / Processors
Intel Core i5-13600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071513600KF Desktop Processor,7189.99,True,CPUs / Processors
Intel Core i5-14600K Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600K Desktop Processor,7873.49,True,CPUs / Processors
Intel Core i5-14600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600KF Desktop Processor,7239.99,True,CPUs / Processors
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700 Desktop Processor,9313.99,True,CPUs / Processors
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W CM8070804491214 Desktop Processor,7823.49,True,CPUs / Processors
Intel Core i7-11700F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700F Desktop Processor,8382.49,True,CPUs / Processors
Intel Core i7-11700K Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700K Desktop Processor,9934.99,True,CPUs / Processors
Intel Core i7-11700KF Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700KF Desktop Processor,8692.99,True,CPUs / Processors
Intel Core i7-12700 Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700 Desktop Processor,8195.99,True,CPUs / Processors
Intel Core i7-12700F Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700F Desktop Processor,8071.99,True,CPUs / Processors
Intel Core i7-12700K Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700K Desktop Processor,9934.99,True,CPUs / Processors
Intel Core i7-12700KF Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700KF Desktop Processor,9562.49,True,CPUs / Processors
Intel Core i7-13700 Raptor Lake 16-Core 2.10GHz LGA1700 65W BX8071513700 Desktop Processor,9500.49,True,CPUs / Processors
Intel Core i7-13700F Raptor Lake 16-Core 2.10GHz LGA1700 65W BX8071513700F Desktop Processor,8879.49,True,CPUs / Processors
Intel Core i7-13700K Raptor Lake 16-Core 3.40GHz LGA1700 125W BX8071513700K Desktop Processor,10183.49,True,CPUs / Processors
Intel Core i7-13700KF Raptor Lake 16-Core 3.40GHz LGA1700 125W BX8071513700KF Desktop Processor,9390.99,False,CPUs / Processors
Intel Core i7-14700K Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700K Desktop Processor,10366.99,True,CPUs / Processors
Intel Core i7-14700KF Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700KF Desktop Processor,9686.49,True,CPUs / Processors
Intel Core i9-10940X Cascade Lake 14-Core 3.30GHz LGA2066 165W BX8069510940X Desktop Processor,19125.99,True,CPUs / Processors
Intel Core i9-10980XE Cascade Lake 18-Core 3.00GHz LGA2066 165W BX8069510980XE Desktop Processor,23845.49,True,CPUs / Processors
Intel Core i9-11900 Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811900 Desktop Processor,13101.99,True,CPUs / Processors
Intel Core i9-11900F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811900F Desktop Processor,12418.99,True,CPUs / Processors
Intel Core i9-11900K Rocket Lake 8-Core 3.50GHz LGA1200 125W BX8070811900K Desktop Processor,13226.49,True,CPUs / Processors
Intel Core i9-11900KF Rocket Lake 8-Core 3.50GHz LGA1200 125W BX8070811900KF Desktop Processor,12046.49,True,CPUs / Processors
Intel Core i9-12900 Alder Lake 16-Core 2.40GHz LGA1700 65W BX8071512900 Desktop Processor,12623.99,False,CPUs / Processors
Intel Core i9-12900F Alder Lake 16-Core 2.40GHz LGA1700 65W BX8071512900F Desktop Processor,11847.49,True,CPUs / Processors
Intel Core i9-12900K Alder Lake 16-Core 3.20GHz LGA1700 125W BX8071512900K Desktop Processor,14095.49,True,CPUs / Processors
Intel Core i9-12900KF Alder Lake 16-Core 3.20GHz LGA1700 125W BX8071512900KF Desktop Processor,13933.99,True,CPUs / Processors
Intel Core i9-12900KS Alder Lake 16-Core 3.40GHz LGA1700 150W BX8071512900KS Desktop Processor,14281.99,True,CPUs / Processors
Intel Core i9-13900 Raptor Lake 24-Core 2.00GHz LGA1700 65W BX8071513900 Desktop Processor,14269.49,True,CPUs / Processors
Intel Core i9-13900F Raptor Lake 24-Core 2.00GHz LGA1700 65W BX8071513900F Desktop Processor,13238.49,True,CPUs / Processors
Intel Core i9-13900K Raptor Lake 24-Core 3.00GHz LGA1700 125W BX8071513900K Desktop Processor,14343.99,True,CPUs / Processors
Intel Core i9-13900KF Raptor Lake 24-Core 3.00GHz LGA1700 125W BX8071513900KF Desktop Processor,13722.99,False,CPUs / Processors
Intel Core i9-13900KS Raptor Lake 24-Core 3.20GHz LGA1700 150W BX8071513900KS Desktop Processor,14530.49,True,CPUs / Processors
Intel Core i9-14900K Raptor Lake 24-Core 3.20GHz LGA1700 125W BX8071514900K Desktop Processor,14449.49,True,CPUs / Processors
Intel Core i9-14900KF Raptor Lake 24-Core 3.20GHz LGA1700 125W BX8071514900KF Desktop Processor,13796.49,True,CPUs / Processors
Intel Pentium Gold G7400 Alder Lake 2-Core 3.70GHz LGA1700 46W BX80715G7400 Desktop Processor,2197.49,True,CPUs / Processors
ASRock B650 PRO RS AM5 AMD B650-PRO-RS ATX AMD Motherboard,5582.99,False,Motherboards
ASRock B650E Steel Legend AM5 AMD B650E-STEELLEGEND ATX AMD Motherboard,7073.49,False,Motherboards
ASRock TRX40 Taichi sTR4 AMD TRX40-TAICHI TRX40 ATX AMD Motherboard,8874.49,True,Motherboards
ASRock Z790 PRO RS LGA1700 Z790-PRO-RS ATX Intel Motherboard,5582.99,False,Motherboards
ASUS PRIME A320M-K AM4 AMD A320 Micro-ATX AMD Motherboard,1192.49,True,Motherboards
ASUS PRIME A520M-K AM4 AMD A520 Micro-ATX AMD Motherboard,1389.99,True,Motherboards
ASUS PRIME B550M-K AM4 AMD B550 Micro-ATX AMD Motherboard,1896.99,True,Motherboards
ASUS PRIME B560-PLUS LGA1200 Intel B560 ATX Intel Motherboard,3030.49,False,Motherboards
ASUS PRIME B650-PLUS AM5 AMD B650 ATX AMD Motherboard,3364.99,False,Motherboards
ASUS PRIME B650M-A II AM5 AMD B650 Micro-ATX AMD Motherboard,3334.99,True,Motherboards
ASUS PRIME B650M-A WIFI II AM5 AMD B650 Micro-ATX AMD Motherboard,5191.99,True,Motherboards
ASUS PRIME B650M-K AM5 AMD B650 Micro-ATX AMD Motherboard,3011.99,True,Motherboards
ASUS PRIME B660M-K D4 LGA1700 Intel B660 Micro-ATX Intel Motherboard,1961.49,False,Motherboards
ASUS PRIME B760-PLUS D4 LGA1700 Intel B760 ATX Intel Motherboard,2639.49,False,Motherboards
ASUS PRIME B760M-A D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,4060.49,False,Motherboards
ASUS PRIME B760M-A WIFI D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,4365.99,False,Motherboards
ASUS PRIME B760M-K D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,2539.99,True,Motherboards
ASUS PRIME H310M-K R2.0 LGA1151 Intel H310 Micro-ATX Intel Motherboard,1477.99,False,Motherboards
ASUS PRIME H470 PLUS LGA1200 Intel H470 ATX Intel Motherboard,1899.00,False,Motherboards
ASUS PRIME H510M-K LGA1200 Intel H510 Micro-ATX Intel Motherboard,1515.49,True,Motherboards
ASUS PRIME H610M-D D4 LGA1700 Intel H610 Micro-ATX Intel Motherboard,1801.49,False,Motherboards
ASUS PRIME H610M-K D4 LGA1700 Intel H610 Micro-ATX Intel Motherboard,1900.49,False,Motherboards
ASUS PRIME H670-PLUS D4 LGA1700 Intel H670 ATX Intel Motherboard,3016.99,False,Motherboards
ASUS PRIME H770-PLUS D4 LGA1700 Intel H770 ATX Intel Motherboard,3682.99,True,Motherboards
ASUS PRIME X670-P AM5 AMD X670 ATX AMD Motherboard,5433.99,False,Motherboards
ASUS PRIME X670-P WIFI AM5 AMD X670 ATX AMD Motherboard,5166.99,False,Motherboards
ASUS PRIME X670E-PRO WIFI AM5 AMD X670 ATX AMD Motherboard,8133.99,False,Motherboards
ASUS PRIME Z690-A LGA1700 Intel Z690 ATX Intel Motherboard,5649.00,False,Motherboards
ASUS PRIME Z690-P WIFI D4 LGA1700 Intel Z690 ATX Intel Motherboard,5099.00,True,Motherboards
ASUS PRIME Z690-P WIFI LGA1700 Intel Z690 ATX Intel Motherboard,5203.99,False,Motherboards
ASUS PRIME Z690M PLUS D4 LGA1700 Intel Z690 Micro-ATX Intel Motherboard,3899.00,True,Motherboards
ASUS PRIME Z790-A WIFI LGA1700 Intel Z790 ATX Intel Motherboard,8121.49,True,Motherboards
ASUS PRIME Z790-P D4 LGA1700 Intel Z790 ATX Intel Motherboard,4221.99,True,Motherboards
ASUS PRIME Z790-P LGA1700 Intel Z790 ATX Intel Motherboard,5154.49,True,Motherboards
ASUS PRIME Z790-P WIFI LGA1700 Intel Z790 ATX Intel Motherboard,5668.49,True,Motherboards
ASUS PRIME Z790M-PLUS D4 LGA1700 Intel Z790 Micro-ATX Intel Motherboard,5177.99,False,Motherboards
ASUS PRIME Z790M-PLUS LGA1700 Intel Z790 Micro-ATX Intel Motherboard,5005.49,False,Motherboards
ASUS ProArt B650-CREATOR AM5 AMD B650 ATX AMD Motherboard,6849.99,True,Motherboards
ASUS ProArt B760-CREATOR D4 LGA1700 Intel B760 ATX Intel Motherboard,4233.99,False,Motherboards
ASUS ProArt Z790-CREATOR WIFI LGA1700 Intel Z790 ATX Intel Motherboard,12128.49,False,Motherboards
ASUS ROG CROSSHAIR X670E EXTREME AM5 AMD X670 E-ATX AMD Motherboard,19597.99,False,Motherboards
ASUS ROG CROSSHAIR X670E GENE AM5 AMD X670 Micro-ATX AMD Motherboard,11897.49,True,Motherboards
ASUS ROG CROSSHAIR X670E HERO AM5 AMD X670 ATX AMD Motherboard,13586.49,False,Motherboards
ASUS ROG MAXIMUS Z690 FORMULA LGA1700 Intel Z690 ATX Intel Motherboard,15860.49,True,Motherboards
ASUS ROG MAXIMUS Z790 APEX LGA1700 Intel Z790 ATX Intel Motherboard,19227.49,False,Motherboards
ASUS ROG MAXIMUS Z790 EXTREME LGA1700 Intel Z790 E-ATX Intel Motherboard,23616.99,False,Motherboards
ASUS ROG MAXIMUS Z790 HERO LGA1700 Intel Z790 ATX Intel Motherboard,16251.99,False,Motherboards
ASUS ROG STRIX B550-A GAMING AM4 AMD B550 ATX AMD Motherboard,3639.49,True,Motherboards
ASUS ROG STRIX B650-A GAMING WIFI AM5 AMD B650 ATX AMD Motherboard,4868.99,False,Motherboards
ASUS ROG STRIX B650E-E GAMING WIFI AM5 AMD B650 ATX AMD Motherboard,7469.49,False,Motherboards
ASUS ROG STRIX B650E-F GAMING WIFI AM5 AMD B650 ATX AMD Motherboard,6395.49,False,Motherboards
ASUS ROG STRIX B650E-I GAMING WIFI AM5 AMD B650 Mini-ITX AMD Motherboard,8631.99,True,Motherboards
ASUS ROG STRIX B760-A GAMING WIFI D4 LGA1700 Intel B760 ATX Intel Motherboard,4842.99,False,Motherboards
ASUS ROG STRIX B760-F GAMING WIFI LGA1700 Intel B760 ATX Intel Motherboard,6495.99,True,Motherboards
ASUS ROG STRIX B760-G GAMING WIFI D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,4452.99,False,Motherboards
ASUS ROG STRIX B760-I GAMING WIFI LGA1700 Intel B760 Mini-ITX Intel Motherboard,6090.99,False,Motherboards
ASUS ROG Strix TRX40-E Gaming sTR4 AMD 90MB12E0-M0EAY0 TRX40 ATX AMD Motherboard,2499.00,False,Motherboards
ASUS ROG STRIX X670E-A GAMING WIFI AM5 AMD X670 ATX AMD Motherboard,9688.99,False,Motherboards
ASUS ROG STRIX X670E-E GAMING WIFI AM5 AMD X670 ATX AMD Motherboard,10718.49,False,Motherboards
ASUS ROG STRIX X670E-F GAMING WIFI AM5 AMD X670 ATX AMD Motherboard,11570.49,False,Motherboards
ASUS ROG STRIX X670E-I GAMING WIFI AM5 AMD X670 Mini-ITX AMD Motherboard,9631.99,False,Motherboards
ASUS ROG STRIX Z790-A GAMING WIFI D4 LGA1700 Intel Z790 ATX Intel Motherboard,7525.49,True,Motherboards
