Title,Price,In Stock,Category,URL
AMD Ryzen 5 5600GT AM4 6-Core 3.6GHz Gaming Processor - CPU,2999,In stock,CPU,https://www.takealot.com/amd-ryzen-5-5600gt-am4-6-core-3-6ghz-gaming-processor-cpu/PLID94922385
AMD Ryzen 7 5700X3D AM4 8-Core 4.1GHz Gaming Processor - CPU,5699,In stock,CPU,https://www.takealot.com/amd-ryzen-7-5700x3d-am4-8-core-4-1ghz-gaming-processor-cpu/PLID94922384
AMD Ryzen 5 8500G AM5 6-Core 3.5GHz Gaming Processor - CPU,4459,In stock,CPU,https://www.takealot.com/amd-ryzen-5-8500g-am5-6-core-3-5ghz-gaming-processor-cpu/PLID94922383
AMD Ryzen 5 8600G AM5 6-Core 4.3GHz Gaming Processor - CPU,5725,In stock,CPU,https://www.takealot.com/amd-ryzen-5-8600g-am5-6-core-4-3ghz-gaming-processor-cpu/PLID94922382
AMD Ryzen 7 8700G AM5 8-Core 4.2GHz Gaming Processor - CPU,8219,In stock,CPU,https://www.takealot.com/amd-ryzen-7-8700g-am5-8-core-4-2ghz-gaming-processor-cpu/PLID94922381
"Raspberry-Pi (RPI5-8GB-SINGLE) Raspberry Pi5 8GB, BCM2712, 8GB RAM",3999,In stock,CPU,https://www.takealot.com/raspberry-pi-rpi5-8gb-single-raspberry-pi5-8gb-bcm2712-8gb-ram/PLID94711946
Intel 14th Gen Core i9-14900K LGA1700 3.2GHz 24-Core CPU,16880,Ships in 4 - 6 work days,CPU,https://www.takealot.com/intel-14th-gen-core-i9-14900k-lga1700-3-2ghz-24-core-cpu/PLID94705450
"Raspberry-Pi (RPI5-4GB-SINGLE) SBC, Raspberry Pi5 4GB, 4GB RAM, MicroSD",2999,In stock,CPU,https://www.takealot.com/raspberry-pi-rpi5-4gb-single-sbc-raspberry-pi5-4gb-4gb-ram-microsd/PLID94605837
Intel Core i5 14600K 3.5GHZ LGA1700,8297,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-core-i5-14600k-3-5ghz-lga1700/PLID94562197
Intel Core I7 14700k 3.4ghz Lga1700,10999,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-core-i7-14700k-3-4ghz-lga1700/PLID94444432
Intel Core I9 14900k 3.2ghz Lga1700,20945,Ships in 3 - 5 work days,CPU,https://www.takealot.com/intel-core-i9-14900k-3-2ghz-lga1700/PLID94444431
Intel 14th Gen Core i5-14600K Desktop Processor,7694,In stock,CPU,https://www.takealot.com/intel-14th-gen-core-i5-14600k-desktop-processor/PLID94155179
AMD Ryzen 7 7800X3D AM5 8-Core 4.2GHz Gaming Processor,9399,In stock,CPU,https://www.takealot.com/amd-ryzen-7-7800x3d-am5-8-core-4-2ghz-gaming-processor/PLID93729844
Intel 13th Gen Core i5-13500 LGA1700 4.8GHz 14 Core (6P+8E),8013,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-13th-gen-core-i5-13500-lga1700-4-8ghz-14-core-6p-8e/PLID93645512
Intel Xeon 2.1GHz E5-2620 v4 LGA 2011 Processor,1299,In stock,CPU,https://www.takealot.com/intel-xeon-2-1ghz-e5-2620-v4-lga-2011-processor/PLID93525110
Intel BX8071512600 Core i5-12600 Hexa Core 3.30GHz,8050,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-bx8071512600-core-i5-12600-hexa-core-3-30ghz/PLID93513099
Intel 12th Gen Core i5-12400 LGA1700 2.5GHz 6-Core CPU,4857,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-12th-gen-core-i5-12400-lga1700-2-5ghz-6-core-cpu/PLID93478248
